date,category,amount
02-01-24,Groceries,3500.0
04-01-24,Fuel,7500.0
08-01-24,Dining Out,4200.0
12-01-24,Utilities,6800.0
15-01-24,Shopping,12500.0
20-01-24,Home Maintenance,8000.0
25-01-24,Healthcare,3500.0
28-01-24,Subscriptions,1200.0
03-02-24,Groceries,4800.0
07-02-24,Fuel,8100.0
10-02-24,Entertainment,5500.0
14-02-24,Gifts,15000.0
18-02-24,Personal Care,2500.0
22-02-24,Rent,25000.0
26-02-24,Utilities,7100.0
01-03-24,Groceries,4100.0
05-03-24,Dining Out,5300.0
09-03-24,Shopping,9800.0
15-03-24,Education,10000.0
20-03-24,Healthcare,4200.0
24-03-24,Fuel,7800.0
28-03-24,Rent,25000.0
02-04-24,Groceries,3900.0
06-04-24,Home Maintenance,7200.0
10-04-24,Transportation,3500.0
14-04-24,Utilities,6500.0
18-04-24,Entertainment,6000.0
22-04-24,Subscriptions,1200.0
26-04-24,Shopping,11000.0
30-04-24,Rent,25000.0
05-05-24,Groceries,5200.0
09-05-24,Fuel,8500.0
14-05-24,Healthcare,4800.0
18-05-24,Dining Out,5900.0
23-05-24,Personal Care,3100.0
27-05-24,Rent,25000.0
31-05-24,Insurance,20000.0
04-06-24,Groceries,4400.0
08-06-24,Utilities,7000.0
12-06-24,Travel,15000.0
16-06-24,Shopping,13000.0
20-06-24,Education,10000.0
24-06-24,Fuel,8200.0
28-06-24,Entertainment,5200.0
02-07-24,Groceries,4600.0
06-07-24,Rent,25000.0
10-07-24,Dining Out,6100.0
14-07-24,Home Maintenance,8500.0
18-07-24,Healthcare,5500.0
22-07-24,Fuel,7900.0
26-07-24,Subscriptions,1200.0
30-07-24,Gifts,10000.0
03-08-24,Groceries,5500.0
07-08-24,Utilities,7500.0
11-08-24,Shopping,14500.0
15-08-24,Entertainment,6500.0
19-08-24,Personal Care,3400.0
23-08-24,Rent,25000.0
27-08-24,Transportation,4100.0
01-09-24,Groceries,4900.0
05-09-24,Fuel,8800.0
09-09-24,Dining Out,6300.0
13-09-24,Education,10000.0
17-09-24,Healthcare,5800.0
21-09-24,Travel,18000.0
25-09-24,Rent,25000.0
29-09-24,Insurance,20000.0
04-10-24,Groceries,5100.0
08-10-24,Utilities,7800.0
12-10-24,Home Maintenance,9000.0
16-10-24,Shopping,15500.0
20-10-24,Entertainment,6800.0
24-10-24,Fuel,8500.0
28-10-24,Rent,25000.0
02-11-24,Groceries,5400.0
